"","year","forest_sum","forest_sq_km"
"for_2000_90m",2000,12199203.6744736,98813549.7632358
"for_2001_90m",2001,12162977.7307107,98520119.6187569
"for_2002_90m",2002,12109194.0277406,98084471.6246993
"for_2003_90m",2003,12049171.7609188,97598291.2634421
"for_2004_90m",2004,12006895.1750843,97255850.9181831
"for_2005_90m",2005,11944945.4902216,96754058.4707946
"for_2006_90m",2006,11868738.6153424,96136782.7842731
"for_2007_90m",2007,11761886.3698158,95271279.5955083
"for_2008_90m",2008,11682375.376513,94627240.5497553
"for_2009_90m",2009,11585970.4939661,93846361.0011252
"for_2010_90m",2010,11509022.7427426,93223084.2162151
"for_2011_90m",2011,11403283.0234295,92366592.4897789
"for_2012_90m",2012,11321864.0410089,91707098.732172
"for_2013_90m",2013,11195152.1215339,90680732.1844247
"for_2014_90m",2014,10965716.3811015,88822302.6869219
"for_2015_90m",2015,10829930.8307727,87722439.7292587
"for_2016_90m",2016,10679400.2795569,86503142.2644111
"for_2017_90m",2017,10429704.4650323,84480606.1667618
